Företagsnamn,Organisationsnummer,Telefonnummer,Adress
QPG AB,556243-0933,Telefon 031-303 44 00,"Geijersg. 1B, 411 34 Göteborg"
TOL Arkitekter AB,556710-7759,Telefon 08-642 20 25,"Virkesvägen 24, 120 30 Stockholm"
Tillberg Design AB,556687-7816,Telefon 076-722 30 86,"Småbåtshamnen 24, 26339 HÖGANÄS"
Nyréns Arkitektkontor Aktiebolag,556221-6613,Telefon 08-698 43 00,"Magnus Ladulåsgatan 63, 118 27 Stockholm"
Falugruppen arkitektkontor AB,556954-7622,Telefon 023-79 40 50,"Åsgatan 12, 791 71 Falun"
Magnus Ståhl Arkitektbyrå AB,556438-0474,Telefon 08-677 00 99,"Parkvägen 7, 18160 Lidingö"
Equator Stockholm AB,556064-0616,Telefon 08-506 025 00,"Sveavägen 24-26 7 tr., 111 83 Stockholm"
Total Arkitektur,556485-7315,Telefon 08-441 36 00,
AIX Arkitekter AB,556319-2086,Telefon 08-690 29 00,"Hudiksvallsgatan 8, 113 30 Stockholm"
ATRIO arkitekter Västervik AB,556084-0885,Telefon 0490-168 50,
Be Konstruktörer & Arkitekter AB,559335-6362,Telefon 010-405 10 00,"Drottninggatan 97, 113 60 Stockholm"
Abako Arkitektkontor Aktiebolag,556093-1452,Telefon 031-85 67 00,"Kastellgatan 1, 41307 Göteborg"
Åkerströms Arkitektkontor,500509-XXXX,Telefon 0650-189 55,"Nybyggaregatan 2, 82451 Hudiksvall"
General Architecture Sweden AB,556710-9284,Telefon 08-658 16 80,
Mats Fredriksson arkitektkontor AB,556594-1779,Telefon 011-10 00 66,"Skolgatan 1A, 60225 NORRKÖPING"
Kanozi Arkitekter AB,556474-0024,Telefon 070-514 48 14,"Järntorget 3, 413 04 Göteborg"
Rolf Eppens Arkitektur AB,556364-6040,Telefon 08-651 00 80,"Industrig. 4, 112 46 Stockholm"
Pumilus AB,556872-6458,Telefon 076-878 99 12,"Priorsg. 21, 216 17 LIMHAMN"
Arkitektgruppen i Gävle AB,556046-8976,Telefon 026-54 18 40,"VÅGSKRIVARGATAN 5 1 TR, 80320 Gävle"
Diabas Arkitekter AB,556677-0250,Telefon 011-13 30 50,"REPSLAGAREGATAN 19, 602 25 NORRKÖPING"
Erik Hammarstrand Design AB,556399-0851,Telefon 070-820 78 10,"Spelmansplatsen 5, 41652 GÖTEBORG"
3D House AB,556712-1396,Telefon 08-716 87 50,"Vikdalsgränd 10A, 131 52 Nacka Strand"
